Layer,Step 3 point,Hits,NEVTs
U,1,LEF-3-4, LEF-3-5,20000
U,2,LEF-3-3, LEF-3-4,20000
U,3,LEF-3-2, LEF-3-3,20000
U,4,LEF-3-1, LEF-3-2,20000
U,5,LEF-1-1, LEF-3-1,20000
U,6,LEF-1-1, LEF-1-2,20000
U,7,LEF-1-2, LEF-1-3,20000
U,8,LEF-1-3, LEF-1-4,20000
U,9,LEF-1-4, LEF-1-5,20000
U,10,LEF-1-4, LEF-1-5,20000
U,11,LEF-1-3, LEF-1-4,20000
U,12,LEF-1-2, LEF-1-3,20000
U,13,LEF-1-1, LEF-1-2,20000
U,14,LEF-1-1, LEF-3-1,20000
U,15,LEF-3-1, LEF-3-2,20000
U,16,LEF-3-2, LEF-3-3,20000
U,17,LEF-3-3, LEF-3-4,20000
U,18,LEF-3-4, LEF-3-5,20000
U,19,LEF-3-6, LEF-3-7,20000
U,20,LEF-3-5, LEF-3-6,20000
U,21,LEF-3-4, LEF-3-5,20000
U,22,LEF-3-3, LEF-3-4,20000
U,23,LEF-3-2, LEF-3-3,20000
U,24,LEF-3-1, LEF-3-2,20000
U,25,LEF-1-1, LEF-3-1,20000
U,26,LEF-1-1, LEF-1-2,20000
U,27,LEF-1-2, LEF-1-3,20000
U,28,LEF-1-3, LEF-1-4,20000
U,29,LEF-1-4, LEF-1-5,20000
U,30,LEF-1-5, LEF-1-6,20000
U,31,LEF-1-6, LEF-1-7,20000
U,32,LEF-1-6, LEF-1-7,20000
U,33,LEF-1-5, LEF-1-6,20000
U,34,LEF-1-4, LEF-1-5,20000
U,35,LEF-1-3, LEF-1-4,20000
U,36,LEF-1-2, LEF-1-3,20000
U,37,LEF-1-1, LEF-1-2,20000
U,38,LEF-1-1, LEF-3-1,20000
U,39,LEF-3-1, LEF-3-2,20000
U,40,LEF-3-2, LEF-3-3,20000
U,41,LEF-3-3, LEF-3-4,20000
U,42,LEF-3-4, LEF-3-5,20000
U,43,LEF-3-5, LEF-3-6,20000
U,44,LEF-3-6, LEF-3-7,20000
U,45,LEF-3-8, LEF-3-9,20000
U,46,LEF-3-7, LEF-3-8,20000
U,47,LEF-3-6, LEF-3-7,20000
U,48,LEF-3-5, LEF-3-6,20000
U,49,LEF-3-4, LEF-3-5,20000
U,50,LEF-3-3, LEF-3-4,20000
U,51,LEF-3-2, LEF-3-3,20000
U,52,LEF-3-1, LEF-3-2,20000
U,53,LEF-1-1, LEF-3-1,20000
U,54,LEF-1-1, LEF-1-2,20000
U,55,LEF-1-2, LEF-1-3,20000
U,56,LEF-1-3, LEF-1-4,20000
U,57,LEF-1-4, LEF-1-5,20000
U,58,LEF-1-5, LEF-1-6,20000
U,59,LEF-1-6, LEF-1-7,20000
U,60,LEF-1-7, LEF-1-8,20000
U,61,LEF-1-8, LEF-1-9,20000
U,62,LEF-1-8, LEF-1-9,20000
U,63,LEF-1-7, LEF-1-8,20000
U,64,LEF-1-6, LEF-1-7,20000
U,65,LEF-1-5, LEF-1-6,20000
U,66,LEF-1-4, LEF-1-5,20000
U,67,LEF-1-3, LEF-1-4,20000
U,68,LEF-1-2, LEF-1-3,20000
U,69,LEF-1-1, LEF-1-2,20000
U,70,LEF-1-1, LEF-3-1,20000
U,71,LEF-3-1, LEF-3-2,20000
U,72,LEF-3-2, LEF-3-3,20000
U,73,LEF-3-3, LEF-3-4,20000
U,74,LEF-3-4, LEF-3-5,20000
U,75,LEF-3-5, LEF-3-6,20000
U,76,LEF-3-6, LEF-3-7,20000
U,77,LEF-3-7, LEF-3-8,20000
U,78,LEF-3-8, LEF-3-9,20000
U,79,LEF-3-8, LEF-3-9,20000
U,80,LEF-3-7, LEF-3-8,20000
U,81,LEF-3-6, LEF-3-7,20000
U,82,LEF-3-5, LEF-3-6,20000
U,83,LEF-3-4, LEF-3-5,20000
U,84,LEF-3-3, LEF-3-4,20000
U,85,LEF-3-2, LEF-3-3,20000
U,86,LEF-3-1, LEF-3-2,20000
U,87,LEF-1-1, LEF-3-1,20000
U,88,LEF-1-1, LEF-1-2,20000
U,89,LEF-1-2, LEF-1-3,20000
U,90,LEF-1-3, LEF-1-4,20000
U,91,LEF-1-4, LEF-1-5,20000
U,92,LEF-1-5, LEF-1-6,20000
U,93,LEF-1-6, LEF-1-7,20000
U,94,LEF-1-7, LEF-1-8,20000
U,95,LEF-1-8, LEF-1-9,20000
U,96,LEF-1-8, LEF-1-9,20000
U,97,LEF-1-7, LEF-1-8,20000
U,98,LEF-1-6, LEF-1-7,20000
U,99,LEF-1-5, LEF-1-6,20000
U,100,LEF-1-4, LEF-1-5,20000
U,101,LEF-1-3, LEF-1-4,20000
U,102,LEF-1-2, LEF-1-3,20000
U,103,LEF-1-1, LEF-1-2,20000
U,104,LEF-1-1, LEF-3-1,20000
U,105,LEF-3-1, LEF-3-2,20000
U,106,LEF-3-2, LEF-3-3,20000
U,107,LEF-3-3, LEF-3-4,20000
U,108,LEF-3-4, LEF-3-5,20000
U,109,LEF-3-5, LEF-3-6,20000
U,110,LEF-3-6, LEF-3-7,20000
U,111,LEF-3-7, LEF-3-8,20000
U,112,LEF-3-8, LEF-3-9,20000
U,113,LEF-3-8, LEF-3-9,20000
U,114,LEF-3-7, LEF-3-8,20000
U,115,LEF-3-6, LEF-3-7,20000
U,116,LEF-3-5, LEF-3-6,20000
U,117,LEF-3-4, LEF-3-5,20000
U,118,LEF-3-3, LEF-3-4,20000
U,119,LEF-3-2, LEF-3-3,20000
U,120,LEF-3-1, LEF-3-2,20000
U,121,LEF-1-1, LEF-3-1,20000
U,122,LEF-1-1, LEF-1-2,20000
U,123,LEF-1-2, LEF-1-3,20000
U,124,LEF-1-3, LEF-1-4,20000
U,125,LEF-1-4, LEF-1-5,20000
U,126,LEF-1-5, LEF-1-6,20000
U,127,LEF-1-6, LEF-1-7,20000
U,128,LEF-1-7, LEF-1-8,20000
U,129,LEF-1-8, LEF-1-9,20000
U,130,LEF-1-8, LEF-1-9,20000
U,131,LEF-1-7, LEF-1-8,20000
U,132,LEF-1-6, LEF-1-7,20000
U,133,LEF-1-5, LEF-1-6,20000
U,134,LEF-1-4, LEF-1-5,20000
U,135,LEF-1-3, LEF-1-4,20000
U,136,LEF-1-2, LEF-1-3,20000
U,137,LEF-1-1, LEF-1-2,20000
U,138,LEF-1-1, LEF-3-1,20000
U,139,LEF-3-1, LEF-3-2,20000
U,140,LEF-3-2, LEF-3-3,20000
U,141,LEF-3-3, LEF-3-4,20000
U,142,LEF-3-4, LEF-3-5,20000
U,143,LEF-3-5, LEF-3-6,20000
U,144,LEF-3-6, LEF-3-7,20000
U,145,LEF-3-7, LEF-3-8,20000
U,146,LEF-3-8, LEF-3-9,20000
U,147,LEF-3-8, LEF-3-9,20000
U,148,LEF-3-7, LEF-3-8,20000
U,149,LEF-3-6, LEF-3-7,20000
U,150,LEF-3-5, LEF-3-6,20000
U,151,LEF-3-4, LEF-3-5,20000
U,152,LEF-3-3, LEF-3-4,20000
U,153,LEF-3-2, LEF-3-3,20000
U,154,LEF-3-1, LEF-3-2,20000
U,155,LEF-1-1, LEF-3-1,20000
U,156,LEF-1-1, LEF-1-2,20000
U,157,LEF-1-2, LEF-1-3,20000
U,158,LEF-1-3, LEF-1-4,20000
U,159,LEF-1-4, LEF-1-5,20000
U,160,LEF-1-5, LEF-1-6,20000
U,161,LEF-1-6, LEF-1-7,20000
U,162,LEF-1-7, LEF-1-8,20000
U,163,LEF-1-8, LEF-1-9,20000
U,164,LEF-1-8, LEF-1-9,20000
U,165,LEF-1-7, LEF-1-8,20000
U,166,LEF-1-6, LEF-1-7,20000
U,167,LEF-1-5, LEF-1-6,20000
U,168,LEF-1-4, LEF-1-5,20000
U,169,LEF-1-3, LEF-1-4,20000
U,170,LEF-1-2, LEF-1-3,20000
U,171,LEF-1-1, LEF-1-2,20000
U,172,LEF-1-1, LEF-3-1,20000
U,173,LEF-3-1, LEF-3-2,20000
U,174,LEF-3-2, LEF-3-3,20000
U,175,LEF-3-3, LEF-3-4,20000
U,176,LEF-3-4, LEF-3-5,20000
U,177,LEF-3-5, LEF-3-6,20000
U,178,LEF-3-6, LEF-3-7,20000
U,179,LEF-3-7, LEF-3-8,20000
U,180,LEF-3-8, LEF-3-9,20000
U,181,LEF-5-8, LEF-5-9,20000
U,182,LEF-5-7, LEF-5-8,20000
U,183,LEF-5-6, LEF-5-7,20000
U,184,LEF-5-5, LEF-5-6,20000
U,185,LEF-5-4, LEF-5-5,20000
U,186,LEF-5-3, LEF-5-4,20000
U,187,LEF-5-2, LEF-5-3,20000
U,188,LEF-5-1, LEF-5-2,20000
U,189,LEF-5-1, LEF-7-1,20000
U,190,LEF-7-1, LEF-7-2,20000
U,191,LEF-7-2, LEF-7-3,20000
U,192,LEF-7-3, LEF-7-4,20000
U,193,LEF-7-4, LEF-7-5,20000
U,194,LEF-7-5, LEF-7-6,20000
U,195,LEF-7-6, LEF-7-7,20000
U,196,LEF-7-7, LEF-7-8,20000
U,197,LEF-7-8, LEF-7-9,20000
U,198,LEF-7-8, LEF-7-9,20000
U,199,LEF-7-7, LEF-7-8,20000
U,200,LEF-7-6, LEF-7-7,20000
U,201,LEF-7-5, LEF-7-6,20000
U,202,LEF-7-4, LEF-7-5,20000
U,203,LEF-7-3, LEF-7-4,20000
U,204,LEF-7-2, LEF-7-3,20000
U,205,LEF-7-1, LEF-7-2,20000
U,206,LEF-5-1, LEF-7-1,20000
U,207,LEF-5-1, LEF-5-2,20000
U,208,LEF-5-2, LEF-5-3,20000
U,209,LEF-5-3, LEF-5-4,20000
U,210,LEF-5-4, LEF-5-5,20000
U,211,LEF-5-5, LEF-5-6,20000
U,212,LEF-5-6, LEF-5-7,20000
U,213,LEF-5-7, LEF-5-8,20000
U,214,LEF-5-8, LEF-5-9,20000
U,215,LEF-5-8, LEF-5-9,20000
U,216,LEF-5-7, LEF-5-8,20000
U,217,LEF-5-6, LEF-5-7,20000
U,218,LEF-5-5, LEF-5-6,20000
U,219,LEF-5-4, LEF-5-5,20000
U,220,LEF-5-3, LEF-5-4,20000
U,221,LEF-5-2, LEF-5-3,20000
U,222,LEF-5-1, LEF-5-2,20000
U,223,LEF-5-1, LEF-7-1,20000
U,224,LEF-7-1, LEF-7-2,20000
U,225,LEF-7-2, LEF-7-3,20000
U,226,LEF-7-3, LEF-7-4,20000
U,227,LEF-7-4, LEF-7-5,20000
U,228,LEF-7-5, LEF-7-6,20000
U,229,LEF-7-6, LEF-7-7,20000
U,230,LEF-7-7, LEF-7-8,20000
U,231,LEF-7-8, LEF-7-9,20000
U,232,LEF-7-8, LEF-7-9,20000
U,233,LEF-7-7, LEF-7-8,20000
U,234,LEF-7-6, LEF-7-7,20000
U,235,LEF-7-5, LEF-7-6,20000
U,236,LEF-7-4, LEF-7-5,20000
U,237,LEF-7-3, LEF-7-4,20000
U,238,LEF-7-2, LEF-7-3,20000
U,239,LEF-7-1, LEF-7-2,20000
U,240,LEF-5-1, LEF-7-1,20000
U,241,LEF-5-1, LEF-5-2,20000
U,242,LEF-5-2, LEF-5-3,20000
U,243,LEF-5-3, LEF-5-4,20000
U,244,LEF-5-4, LEF-5-5,20000
U,245,LEF-5-5, LEF-5-6,20000
U,246,LEF-5-6, LEF-5-7,20000
U,247,LEF-5-7, LEF-5-8,20000
U,248,LEF-5-8, LEF-5-9,20000
U,249,LEF-5-8, LEF-5-9,20000
U,250,LEF-5-7, LEF-5-8,20000
U,251,LEF-5-6, LEF-5-7,20000
U,252,LEF-5-5, LEF-5-6,20000
U,253,LEF-5-4, LEF-5-5,20000
U,254,LEF-5-3, LEF-5-4,20000
U,255,LEF-5-2, LEF-5-3,20000
U,256,LEF-5-1, LEF-5-2,20000
U,257,LEF-5-1, LEF-7-1,20000
U,258,LEF-7-1, LEF-7-2,20000
U,259,LEF-7-2, LEF-7-3,20000
U,260,LEF-7-3, LEF-7-4,20000
U,261,LEF-7-4, LEF-7-5,20000
U,262,LEF-7-5, LEF-7-6,20000
U,263,LEF-7-6, LEF-7-7,20000
U,264,LEF-7-7, LEF-7-8,20000
U,265,LEF-7-8, LEF-7-9,20000
U,266,LEF-7-8, LEF-7-9,20000
U,267,LEF-7-7, LEF-7-8,20000
U,268,LEF-7-6, LEF-7-7,20000
U,269,LEF-7-5, LEF-7-6,20000
U,270,LEF-7-4, LEF-7-5,20000
U,271,LEF-7-3, LEF-7-4,20000
U,272,LEF-7-2, LEF-7-3,20000
U,273,LEF-7-1, LEF-7-2,20000
U,274,LEF-5-1, LEF-7-1,20000
U,275,LEF-5-1, LEF-5-2,20000
U,276,LEF-5-2, LEF-5-3,20000
U,277,LEF-5-3, LEF-5-4,20000
U,278,LEF-5-4, LEF-5-5,20000
U,279,LEF-5-5, LEF-5-6,20000
U,280,LEF-5-6, LEF-5-7,20000
U,281,LEF-5-7, LEF-5-8,20000
U,282,LEF-5-8, LEF-5-9,20000
U,283,LEF-5-8, LEF-5-9,20000
U,284,LEF-5-7, LEF-5-8,20000
U,285,LEF-5-6, LEF-5-7,20000
U,286,LEF-5-5, LEF-5-6,20000
U,287,LEF-5-4, LEF-5-5,20000
U,288,LEF-5-3, LEF-5-4,20000
U,289,LEF-5-2, LEF-5-3,20000
U,290,LEF-5-1, LEF-5-2,20000
U,291,LEF-5-1, LEF-7-1,20000
U,292,LEF-7-1, LEF-7-2,20000
U,293,LEF-7-2, LEF-7-3,20000
U,294,LEF-7-3, LEF-7-4,20000
U,295,LEF-7-4, LEF-7-5,20000
U,296,LEF-7-5, LEF-7-6,20000
U,297,LEF-7-6, LEF-7-7,20000
U,298,LEF-7-7, LEF-7-8,20000
U,299,LEF-7-8, LEF-7-9,20000
U,300,LEF-7-8, LEF-7-9,20000
U,301,LEF-7-7, LEF-7-8,20000
U,302,LEF-7-6, LEF-7-7,20000
U,303,LEF-7-5, LEF-7-6,20000
U,304,LEF-7-4, LEF-7-5,20000
U,305,LEF-7-3, LEF-7-4,20000
U,306,LEF-7-2, LEF-7-3,20000
U,307,LEF-7-1, LEF-7-2,20000
U,308,LEF-5-1, LEF-7-1,20000
U,309,LEF-5-1, LEF-5-2,20000
U,310,LEF-5-2, LEF-5-3,20000
U,311,LEF-5-3, LEF-5-4,20000
U,312,LEF-5-4, LEF-5-5,20000
U,313,LEF-5-5, LEF-5-6,20000
U,314,LEF-5-6, LEF-5-7,20000
U,315,LEF-5-7, LEF-5-8,20000
U,316,LEF-5-8, LEF-5-9,20000
U,317,LEF-5-6, LEF-5-7,20000
U,318,LEF-5-5, LEF-5-6,20000
U,319,LEF-5-4, LEF-5-5,20000
U,320,LEF-5-3, LEF-5-4,20000
U,321,LEF-5-2, LEF-5-3,20000
U,322,LEF-5-1, LEF-5-2,20000
U,323,LEF-5-1, LEF-7-1,20000
U,324,LEF-7-1, LEF-7-2,20000
U,325,LEF-7-2, LEF-7-3,20000
U,326,LEF-7-3, LEF-7-4,20000
U,327,LEF-7-4, LEF-7-5,20000
U,328,LEF-7-5, LEF-7-6,20000
U,329,LEF-7-6, LEF-7-7,20000
U,330,LEF-7-6, LEF-7-7,20000
U,331,LEF-7-5, LEF-7-6,20000
U,332,LEF-7-4, LEF-7-5,20000
U,333,LEF-7-3, LEF-7-4,20000
U,334,LEF-7-2, LEF-7-3,20000
U,335,LEF-7-1, LEF-7-2,20000
U,336,LEF-5-1, LEF-7-1,20000
U,337,LEF-5-1, LEF-5-2,20000
U,338,LEF-5-2, LEF-5-3,20000
U,339,LEF-5-3, LEF-5-4,20000
U,340,LEF-5-4, LEF-5-5,20000
U,341,LEF-5-5, LEF-5-6,20000
U,342,LEF-5-6, LEF-5-7,20000
U,343,LEF-5-4, LEF-5-5,20000
U,344,LEF-5-3, LEF-5-4,20000
U,345,LEF-5-2, LEF-5-3,20000
U,346,LEF-5-1, LEF-5-2,20000
U,347,LEF-5-1, LEF-7-1,20000
U,348,LEF-7-1, LEF-7-2,20000
U,349,LEF-7-2, LEF-7-3,20000
U,350,LEF-7-3, LEF-7-4,20000
U,351,LEF-7-4, LEF-7-5,20000
U,352,LEF-7-4, LEF-7-5,20000
U,353,LEF-7-3, LEF-7-4,20000
U,354,LEF-7-2, LEF-7-3,20000
U,355,LEF-7-1, LEF-7-2,20000
U,356,LEF-5-1, LEF-7-1,20000
U,357,LEF-5-1, LEF-5-2,20000
U,358,LEF-5-2, LEF-5-3,20000
U,359,LEF-5-3, LEF-5-4,20000
U,360,LEF-5-4, LEF-5-5,20000
